"","company","streetadd","place","state","zip"
"112","Travelers Cos.","485 Lexington Ave.","New York","New York","10017"
"113","Qualcomm","5775 Morehouse Dr.","San Diego","California","92121"
"114","International Paper","6400 Poplar Ave.","Memphis","Tennessee","38197"
"115","Occidental Petroleum","10889 Wilshire Blvd.","Los Angeles","California","90024"
"116","Duke Energy","550 S. Tryon St.","Charlotte","North Carolina","28202"
"117","Rite Aid","30 Hunter Lane","Camp Hill","Pennsylvania","17011"
"118","Gilead Sciences","333 Lakeside Dr.","Foster City","California","94404"
"119","Baker Hughes","2929 Allen Pkwy.","Houston","Texas","77019"
"120","Emerson Electric","8000 W. Florissant Ave.","St. Louis","Missouri","63136"
"121","EMC","176 South St.","Hopkinton","Massachusetts","1748"
"122","USAA","9800 Fredericksburg Rd.","San Antonio","Texas","78288"
"123","Union Pacific","1400 Douglas St.","Omaha","Nebraska","68179"
"124","Northrop Grumman","2980 Fairview Park Dr.","Falls Church","Virginia","22042"
"125","Alcoa","390 Park Ave.","New York","New York","10022"
"126","Capital One Financial","1680 Capital One Dr.","McLean","Virginia","22102"
"127","National Oilwell Varco","7909 Parkwood Circle Dr.","Houston","Texas","77036"
"128","US Foods","9399 W. Higgins Rd.","Rosemont","Illinois","60018"
"129","Raytheon","870 Winter St.","Waltham","Massachusetts","2451"
"130","Time Warner Cable","60 Columbus Circle","New York","New York","10023"
"131","Arrow Electronics","7459 S. Lima St.","Englewood","Colorado","80112"
"132","Aflac","1932 Wynnton Rd.","Columbus","Georgia","31999"
"133","Staples","500 Staples Dr.","Framingham","Massachusetts","1702"
"134","Abbott Laboratories","100 Abbott Park Rd.","Abbott Park","Illinois","60064"
"135","Community Health Systems","4000 Meridian Blvd.","Franklin","Tennessee","37067"
"136","Fluor","6700 Las Colinas Blvd.","Irving","Texas","75039"
"137","Freeport-McMoRan","333 N. Central Ave.","Phoenix","Arizona","85004"
"138","U.S. Bancorp","800 Nicollet Mall","Minneapolis","Minnesota","55402"
"139","Nucor","1915 Rexford Rd.","Charlotte","North Carolina","28211"
"140","Kimberly-Clark","351 Phelps Dr.","Irving","Texas","75038"
"141","Hess","1185 Ave. of the Americas","New York","New York","10036"
"142","Chesapeake Energy","6100 N. Western Ave.","Oklahoma City","Oklahoma","73118"
"143","Xerox","45 Glover Ave.","Norwalk","Connecticut","6850"
"144","ManpowerGroup","100 Manpower Place","Milwaukee","Wisconsin","53212"
"145","Amgen","1 Amgen Center Dr.","Thousand Oaks","California","91320"
"146","AbbVie","1 N. Waukegan Rd.","North Chicago","Illinois","60064"
"147","Danaher","2200 Pennsylvania Ave. N.W.","Washington","District of Columbia","20037"
"148","Whirlpool","2000 North M-63","Benton Harbor","Michigan","49022"
"149","PBF Energy","1 Sylvan Way","Parsippany","New Jersey","7054"
"150","HollyFrontier","2828 N. Harwood","Dallas","Texas","75201"
"151","Eli Lilly","Lilly Corporate Center","Indianapolis","Indiana","46285"
"152","Devon Energy","333 W. Sheridan Ave.","Oklahoma City","Oklahoma","73102"
"153","Progressive","6300 Wilson Mills Rd.","Mayfield Village","Ohio","44143"
"154","Cummins","500 Jackson St.","Columbus","Indiana","47201"
"155","Icahn Enterprises","767 Fifth Ave.","New York","New York","10153"
"156","AutoNation","200 S.W. First Ave.","Fort Lauderdale","Florida","33301"
"157","Kohl's","N56 W17000 Ridgewood Dr.","Menomonee Falls","Wisconsin","53051"
"158","Paccar","777 106th Ave. N.E.","Bellevue","Washington","98004"
"159","Dollar General","100 Mission Ridge","Goodlettsville","Tennessee","37072"
"160","Hartford Financial Services Gro","1 Hartford Plaza","Hartford","Connecticut","6155"
"161","Southwest Airlines","2702 Love Field Dr.","Dallas","Texas","75235"
"162","Anadarko Petroleum","1201 Lake Robbins Dr.","The Woodlands","Texas","77380"
"163","Southern","30 Ivan Allen Jr. Blvd. N.W.","Atlanta","Georgia","30308"
"164","Supervalu","7075 Flying Cloud Dr.","Eden Prairie","Minnesota","55344"
"165","Kraft Foods Group","3 Lakes Dr.","Northfield","Illinois","60093"
"166","Goodyear Tire & Rubber","200 Innovation Way","Akron","Ohio","44316"
"167","EOG Resources","1111 Bagby St.","Houston","Texas","77002"
"168","CenturyLink","100 CenturyLink Dr.","Monroe","Louisiana","71203"
"169","Altria Group","6601 W. Broad St.","Richmond","Virginia","23230"
"170","Tenet Healthcare","1445 Ross Ave.","Dallas","Texas","75202"
"171","General Mills","1 General Mills Blvd.","Minneapolis","Minnesota","55426"
"172","eBay","2065 Hamilton Ave.","San Jose","California","95125"
"173","ConAgra Foods","1 ConAgra Dr.","Omaha","Nebraska","68102"
"174","Lear","21557 Telegraph Rd.","Southfield","Michigan","48033"
"175","TRW Automotive Holdings","12001 Tech Center Dr.","Livonia","Michigan","48150"
"176","United States Steel","600 Grant St.","Pittsburgh","Pennsylvania","15219"
